Local time,Date,Open,High,Low,Close,Volume
20.01.2019 01:30:00.000 GMT+0330,20.01.2019,62.565,62.565,62.565,62.565,0
21.01.2019 01:30:00.000 GMT+0330,21.01.2019,62.358,63.126,62.235,62.785,2.8594
22.01.2019 01:30:00.000 GMT+0330,22.01.2019,62.571,62.686,60.555,61.475,4.8954
23.01.2019 01:30:00.000 GMT+0330,23.01.2019,61.316,62.306,60.196,60.895,5.2469
24.01.2019 01:30:00.000 GMT+0330,24.01.2019,61.001,61.486,60.386,61.095,5.1976
25.01.2019 01:30:00.000 GMT+0330,25.01.2019,61.096,61.901,60.765,61.475,4.7337
26.01.2019 01:30:00.000 GMT+0330,26.01.2019,61.475,61.475,61.475,61.475,0
27.01.2019 01:30:00.000 GMT+0330,27.01.2019,61.475,61.475,61.475,61.475,0
28.01.2019 01:30:00.000 GMT+0330,28.01.2019,61.323,61.671,59.465,59.955,6.1273
29.01.2019 01:30:00.000 GMT+0330,29.01.2019,59.806,61.766,59.725,61.2,4.4839
30.01.2019 01:30:00.000 GMT+0330,30.01.2019,61.18,62.635,61.02,61.72,6.7654
31.01.2019 01:30:00.000 GMT+0330,31.01.2019,61.718,62.441,60.605,61.095,5.7192
01.02.2019 01:30:00.000 GMT+0330,01.02.2019,60.975,62.946,60.425,62.825,5.7655
02.02.2019 01:30:00.000 GMT+0330,02.02.2019,62.825,62.825,62.825,62.825,0
03.02.2019 01:30:00.000 GMT+0330,03.02.2019,62.825,62.825,62.825,62.825,0
04.02.2019 01:30:00.000 GMT+0330,04.02.2019,62.705,63.611,61.245,62.705,5.6948
05.02.2019 01:30:00.000 GMT+0330,05.02.2019,62.591,62.996,61.705,61.985,5.7767
06.02.2019 01:30:00.000 GMT+0330,06.02.2019,62.056,62.776,61.035,62.555,5.1524
07.02.2019 01:30:00.000 GMT+0330,07.02.2019,62.486,62.871,60.575,61.605,5.5817
08.02.2019 01:30:00.000 GMT+0330,08.02.2019,61.608,62.336,61.035,62.025,4.999
09.02.2019 01:30:00.000 GMT+0330,09.02.2019,62.025,62.025,62.025,62.025,0
10.02.2019 01:30:00.000 GMT+0330,10.02.2019,62.025,62.025,62.025,62.025,0
11.02.2019 01:30:00.000 GMT+0330,11.02.2019,61.815,62.316,60.875,61.535,6.7402
12.02.2019 01:30:00.000 GMT+0330,12.02.2019,61.721,63.311,61.575,62.545,5.5592
13.02.2019 01:30:00.000 GMT+0330,13.02.2019,62.686,63.951,62.676,63.635,5.2295
14.02.2019 01:30:00.000 GMT+0330,14.02.2019,63.666,64.796,63.3,64.575,6.1971
15.02.2019 01:30:00.000 GMT+0330,15.02.2019,64.876,66.365,64.395,66.318,4.4476
16.02.2019 01:30:00.000 GMT+0330,16.02.2019,66.318,66.318,66.318,66.318,0
17.02.2019 01:30:00.000 GMT+0330,17.02.2019,66.318,66.318,66.318,66.318,0
18.02.2019 01:30:00.000 GMT+0330,18.02.2019,66.451,66.805,65.865,66.425,2.4596
19.02.2019 01:30:00.000 GMT+0330,19.02.2019,66.401,66.626,65.565,66.415,4.4963
20.02.2019 01:30:00.000 GMT+0330,20.02.2019,66.245,67.352,65.615,67.085,7.2717
21.02.2019 01:30:00.000 GMT+0330,21.02.2019,67.121,67.276,66.685,66.925,6.4323
22.02.2019 01:30:00.000 GMT+0330,22.02.2019,66.948,67.706,66.835,66.875,5.5802
23.02.2019 01:30:00.000 GMT+0330,23.02.2019,66.875,66.875,66.875,66.875,0
24.02.2019 01:30:00.000 GMT+0330,24.02.2019,66.875,66.875,66.875,66.875,0
25.02.2019 01:30:00.000 GMT+0330,25.02.2019,67.351,67.456,64.515,64.735,5.9233
26.02.2019 01:30:00.000 GMT+0330,26.02.2019,64.74,65.698,64.301,65.625,4.4532
27.02.2019 01:30:00.000 GMT+0330,27.02.2019,65.618,66.67,65.245,66.395,3.5321
28.02.2019 01:30:00.000 GMT+0330,28.02.2019,66.465,66.756,65.886,66.37,3.5613
01.03.2019 01:30:00.000 GMT+0330,01.03.2019,66.475,67.115,64.555,64.875,6.361
02.03.2019 01:30:00.000 GMT+0330,02.03.2019,64.875,64.875,64.875,64.875,0
03.03.2019 01:30:00.000 GMT+0330,03.03.2019,64.875,64.875,64.875,64.875,0
04.03.2019 01:30:00.000 GMT+0330,04.03.2019,65.275,66.321,65.044,65.585,4.7513
05.03.2019 01:30:00.000 GMT+0330,05.03.2019,65.521,66.206,65.015,65.595,4.7401
06.03.2019 01:30:00.000 GMT+0330,06.03.2019,65.486,66.151,65.195,65.875,4.9085
07.03.2019 01:30:00.000 GMT+0330,07.03.2019,65.821,66.971,65.725,65.975,5.1949
08.03.2019 01:30:00.000 GMT+0330,08.03.2019,66.011,66.076,64,65.658,5.9332
09.03.2019 01:30:00.000 GMT+0330,09.03.2019,65.658,65.658,65.658,65.658,0
10.03.2019 01:30:00.000 GMT+0330,10.03.2019,65.658,65.658,65.658,65.658,0
11.03.2019 00:30:00.000 GMT+0330,11.03.2019,65.771,66.726,65.635,66.565,4.8848
12.03.2019 00:30:00.000 GMT+0330,12.03.2019,66.555,67.376,66.335,66.795,4.8152
13.03.2019 00:30:00.000 GMT+0330,13.03.2019,66.795,67.731,66.675,67.635,6.274
14.03.2019 00:30:00.000 GMT+0330,14.03.2019,67.635,68.115,67.005,67.155,4.8458
15.03.2019 00:30:00.000 GMT+0330,15.03.2019,67.155,67.686,66.104,67.005,5.07
16.03.2019 00:30:00.000 GMT+0330,16.03.2019,67.005,67.005,67.005,67.005,0
17.03.2019 00:30:00.000 GMT+0330,17.03.2019,67.005,67.005,67.005,67.005,0
18.03.2019 00:30:00.000 GMT+0330,18.03.2019,66.99,67.661,66.675,67.405,4.4949
19.03.2019 00:30:00.000 GMT+0330,19.03.2019,67.405,68.176,67.104,67.645,4.2825
20.03.2019 00:30:00.000 GMT+0330,20.03.2019,67.645,68.546,67.165,68.215,4.6512
21.03.2019 00:30:00.000 GMT+0330,21.03.2019,68.235,68.676,67.574,67.645,4.9126
