date,Close gas
17/03/2018,2.6885
18/03/2018,2.6885
19/03/2018,2.6545
20/03/2018,2.6715
21/03/2018,2.6435
22/03/2018,2.6155
23/03/2018,2.581
24/03/2018,2.581
25/03/2018,2.581
26/03/2018,2.616
27/03/2018,2.7105
28/03/2018,2.698
29/03/2018,2.726
30/03/2018,2.726
31/03/2018,2.726
1/4/2018,2.726
2/4/2018,2.672
3/4/2018,2.691
4/4/2018,2.704
5/4/2018,2.674
6/4/2018,2.693
7/4/2018,2.693
8/4/2018,2.693
9/4/2018,2.692
10/4/2018,2.654
11/4/2018,2.667
12/4/2018,2.6835
13/04/2018,2.731
14/04/2018,2.731
15/04/2018,2.731
16/04/2018,2.7415
17/04/2018,2.7375
18/04/2018,2.7335
19/04/2018,2.6695
20/04/2018,2.736
21/04/2018,2.736
22/04/2018,2.736
23/04/2018,2.7375
24/04/2018,2.7765
25/04/2018,2.7815
26/04/2018,2.821
27/04/2018,2.765
28/04/2018,2.765
29/04/2018,2.765
30/04/2018,2.7595
1/5/2018,2.7965
2/5/2018,2.7555
3/5/2018,2.725
4/5/2018,2.707
5/5/2018,2.707
6/5/2018,2.707
7/5/2018,2.73
8/5/2018,2.7335
9/5/2018,2.73
10/5/2018,2.8
11/5/2018,2.809
12/5/2018,2.809
13/05/2018,2.809
14/05/2018,2.828
15/05/2018,2.8245
16/05/2018,2.811
17/05/2018,2.846
18/05/2018,2.829
19/05/2018,2.829
20/05/2018,2.829
21/05/2018,2.8165
22/05/2018,2.8975
23/05/2018,2.9195
24/05/2018,2.926
25/05/2018,2.9285
26/05/2018,2.9285
27/05/2018,2.9285
28/05/2018,2.9545
29/05/2018,2.8925
30/05/2018,2.8905
31/05/2018,2.946
1/6/2018,2.9755
2/6/2018,2.9755
3/6/2018,2.9755
4/6/2018,2.92
5/6/2018,2.8815
6/6/2018,2.894
7/6/2018,2.924
8/6/2018,2.9
9/6/2018,2.9
10/6/2018,2.9
11/6/2018,2.948
12/6/2018,2.9365
13/06/2018,2.951
14/06/2018,2.964
15/06/2018,3.024
16/06/2018,3.024
17/06/2018,3.024
18/06/2018,2.947
19/06/2018,2.9095
20/06/2018,2.96
21/06/2018,2.9765
22/06/2018,2.9375
23/06/2018,2.9375
24/06/2018,2.9375
25/06/2018,2.9265
26/06/2018,2.932
27/06/2018,2.9825
28/06/2018,2.945
29/06/2018,2.919
30/06/2018,2.919
1/7/2018,2.919
2/7/2018,2.8525
3/7/2018,2.856
4/7/2018,2.837
5/7/2018,2.824
6/7/2018,2.85
7/7/2018,2.85
8/7/2018,2.85
9/7/2018,2.822
10/7/2018,2.779
11/7/2018,2.8195
12/7/2018,2.7945
13/07/2018,2.753
14/07/2018,2.753
15/07/2018,2.753
16/07/2018,2.761
17/07/2018,2.737
18/07/2018,2.725
19/07/2018,2.762
20/07/2018,2.756
21/07/2018,2.756
22/07/2018,2.756
